% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
177	1	2	50	0	28	549	0	1	0
177	2	2	50	0	28	549	0	1	1
178	1	14	1	0	28	549	0	1	0
178	2	14	1	0	28	549	0	1	1
179	1	1	87	0	28	549	0	1	0
179	2	1	87	0	28	549	0	1	1
180	1	11	58	0	28	549	0	1	0
180	2	11	58	0	28	549	0	1	1
181	1	15	12	0	28	549	0	1	0
181	2	15	12	0	28	549	0	1	1
182	1	6	91	0	28	549	0	1	0
182	2	6	91	0	28	549	0	1	1
183	1	10	63	0	28	549	0	1	0
183	2	10	63	0	28	549	0	1	1
184	1	5	20	0	28	549	0	1	0
184	2	5	20	0	28	549	0	1	1
185	1	13	94	0	28	549	0	1	0
185	2	13	94	0	28	549	0	1	1
186	1	3	96	0	28	549	0	1	0
186	2	3	96	0	28	549	0	1	1
187	1	8	71	0	28	549	0	1	0
187	2	8	71	0	28	549	0	1	1
188	1	7	29	0	28	549	0	1	0
188	2	7	29	0	28	549	0	1	1
189	1	4	78	0	28	549	0	1	0
189	2	4	78	0	28	549	0	1	1
190	1	9	39	0	28	549	0	1	0
190	2	9	39	0	28	549	0	1	1
191	1	12	82	0	28	549	0	1	0
191	2	12	82	0	28	549	0	1	1
192	1	2	50	0	28	549	0	1	0
192	2	2	50	0	28	549	0	1	1
193	1	14	1	0	28	549	0	1	0
193	2	14	1	0	28	549	0	1	1
194	1	1	87	0	28	549	0	1	0
194	2	1	87	0	28	549	0	1	1
195	1	11	58	0	28	549	0	1	0
195	2	11	58	0	28	549	0	1	1
196	1	15	12	0	28	549	0	1	0
196	2	15	12	0	28	549	0	1	1
197	1	6	91	0	28	549	0	1	0
197	2	6	91	0	28	549	0	1	1
198	1	10	63	0	28	549	0	1	0
198	2	10	63	0	28	549	0	1	1
199	1	5	20	0	28	549	0	1	0
199	2	5	20	0	28	549	0	1	1
200	1	13	94	0	28	549	0	1	0
200	2	13	94	0	28	549	0	1	1
201	1	3	96	0	28	549	0	1	0
201	2	3	96	0	28	549	0	1	1
202	1	8	71	0	28	549	0	1	0
202	2	8	71	0	28	549	0	1	1
203	1	7	29	0	28	549	0	1	0
203	2	7	29	0	28	549	0	1	1
204	1	4	78	0	28	549	0	1	0
204	2	4	78	0	28	549	0	1	1
205	1	9	39	0	28	549	0	1	0
205	2	9	39	0	28	549	0	1	1
206	1	12	82	0	28	549	0	1	0
206	2	12	82	0	28	549	0	1	1
207	1	2	50	0	28	549	0	1	0
207	2	2	50	0	28	549	0	1	1
208	1	14	1	0	28	549	0	1	0
208	2	14	1	0	28	549	0	1	1
209	1	1	87	0	28	549	0	1	0
209	2	1	87	0	28	549	0	1	1
210	1	11	58	0	28	549	0	1	0
210	2	11	58	0	28	549	0	1	1
211	1	15	12	0	28	549	0	1	0
211	2	15	12	0	28	549	0	1	1
212	1	6	91	0	28	549	0	1	0
212	2	6	91	0	28	549	0	1	1
213	1	10	63	0	28	549	0	1	0
213	2	10	63	0	28	549	0	1	1
214	1	5	20	0	28	549	0	1	0
214	2	5	20	0	28	549	0	1	1
215	1	13	94	0	28	549	0	1	0
215	2	13	94	0	28	549	0	1	1
216	1	3	96	0	28	549	0	1	0
216	2	3	96	0	28	549	0	1	1
217	1	8	71	0	28	549	0	1	0
217	2	8	71	0	28	549	0	1	1
218	1	7	29	0	28	549	0	1	0
218	2	7	29	0	28	549	0	1	1
219	1	4	78	0	28	549	0	1	0
219	2	4	78	0	28	549	0	1	1
220	1	9	39	0	28	549	0	1	0
220	2	9	39	0	28	549	0	1	1
221	1	12	82	0	28	549	0	1	0
221	2	12	82	0	28	549	0	1	1
222	1	2	50	0	28	549	0	1	0
222	2	2	50	0	28	549	0	1	1
223	1	14	1	0	28	549	0	1	0
223	2	14	1	0	28	549	0	1	1
224	1	1	87	0	28	549	0	1	0
224	2	1	87	0	28	549	0	1	1
225	1	11	58	0	28	549	0	1	0
225	2	11	58	0	28	549	0	1	1
226	1	15	12	0	28	549	0	1	0
226	2	15	12	0	28	549	0	1	1
227	1	6	91	0	28	549	0	1	0
227	2	6	91	0	28	549	0	1	1
228	1	10	63	0	28	549	0	1	0
228	2	10	63	0	28	549	0	1	1
229	1	5	20	0	28	549	0	1	0
229	2	5	20	0	28	549	0	1	1
230	1	13	94	0	28	549	0	1	0
230	2	13	94	0	28	549	0	1	1
231	1	3	96	0	28	549	0	1	0
231	2	3	96	0	28	549	0	1	1
232	1	8	71	0	28	549	0	1	0
232	2	8	71	0	28	549	0	1	1
233	1	7	29	0	28	549	0	1	0
233	2	7	29	0	28	549	0	1	1
234	1	4	78	0	28	549	0	1	0
234	2	4	78	0	28	549	0	1	1
235	1	9	39	0	28	549	0	1	0
